ANNO,MES,ENERGIA_GENERADA,ENERGIA_DEPOSITADA,ENERGIA_RETIRADA,IMPORTE_POR_ENERGIA_RETIRADA,EMPRESA,CODIGO_TARIFA,CODIGO_TARIFA1,TOTAL_CONSUMO_KWH,TOTAL_IMPORTE_ENE,Suma de DISTRITO,Recuento de DISTRITO,Provincia1,CONSUMO_NATURAL,SECTOR,Data_Check
2018,1,1511,774,741,19992,ICE,4,Comercios y servicios monómica,571,66808,50206,1,Guanacaste,2049,Servicios,TRUE
2018,2,1343,718,658,18332,ICE,4,Comercios y servicios monómica,404,46715,50206,1,Guanacaste,1687,Servicios,TRUE
2018,3,1537,665,753,20979,ICE,4,Comercios y servicios monómica,432,49952,50206,1,Guanacaste,2057,Servicios,TRUE
2018,4,1789,898,876,24405,ICE,4,Comercios y servicios monómica,312,36145,50206,1,Guanacaste,2079,Servicios,TRUE
2018,5,1623,944,796,22177,ICE,4,Comercios y servicios monómica,127,14830,50206,1,Guanacaste,1602,Servicios,TRUE
2018,6,1108,530,543,15128,ICE,4,Comercios y servicios monómica,74,8641,30501,1,Cartago,1195,Servicios,TRUE
2018,7,1398,632,685,18337,ICE,4,Comercios y servicios monómica,515,60075,50206,1,Guanacaste,1966,Servicios,TRUE
2018,8,1265,653,619,17245,ICE,4,Comercios y servicios monómica,406,47165,50206,1,Guanacaste,1637,Servicios,TRUE
2018,9,1321,753,648,18053,ICE,4,Comercios y servicios monómica,279,32411,50206,1,Guanacaste,1495,Servicios,TRUE
2018,10,1381,984,674,18778,ICE,4,Comercios y servicios monómica,0,4635,50206,1,Guanacaste,1071,Servicios,TRUE
2018,1,618,308,308,8473,ICE,1,Residencial,105,8101,20113,1,Alajuela,723,Residencial,TRUE
2018,2,716,362,362,10085,ICE,1,Residencial,35,3072,20113,1,Alajuela,751,Residencial,TRUE
2018,3,672,240,240,6686,ICE,1,Residencial,195,14974,20113,1,Alajuela,867,Residencial,TRUE
2018,4,695,271,271,7550,ICE,1,Residencial,186,14377,20113,1,Alajuela,881,Residencial,TRUE
2018,5,522,196,196,5461,ICE,1,Residencial,216,17744,20113,1,Alajuela,738,Residencial,TRUE
