Consumo,TCO,TCS,TIN,TMT,TPR,TRE,TREH,total_general
0,4729,79,37,1,0,14141,41,19028
1,685,7,1,0,1,1737,6,2437
2,363,5,2,0,0,1041,9,1420
3,253,3,1,0,0,867,4,1128
4,244,5,1,0,0,815,2,1067
5,239,1,0,0,0,645,2,887
6,191,8,2,0,0,615,5,821
7,193,3,0,0,0,580,1,777
8,192,0,2,0,0,509,4,707
9,152,3,0,0,0,591,4,750
10,186,4,5,0,0,549,3,747
11,190,3,0,0,0,451,1,645
12,177,2,2,0,0,490,3,674
13,164,3,1,0,0,492,1,661
14,194,6,0,0,0,504,1,705
15,151,2,0,0,0,468,2,623
16,145,1,0,0,0,447,2,595
17,149,1,0,0,0,414,2,566
18,137,3,1,0,0,443,2,586
19,146,5,1,0,0,411,0,563
20,160,2,2,0,0,509,3,676
21,175,3,1,0,0,455,4,638
22,170,2,1,0,0,461,1,635
23,155,2,1,0,0,446,2,606
24,142,1,2,0,0,483,2,630
25,202,3,2,0,0,457,0,664
26,141,4,0,0,0,473,0,618
27,133,2,2,0,0,451,2,590
28,164,0,2,0,0,492,2,660
29,153,2,0,0,0,475,1,631
30,186,4,0,0,0,517,3,710
31,131,2,0,0,0,508,1,642
32,159,1,2,0,0,551,0,713
33,138,6,0,0,0,496,3,643
34,310,5,2,0,0,522,0,839
35,144,3,1,0,0,535,7,690
36,174,4,0,0,0,504,4,686
37,127,6,0,0,0,556,1,690
38,125,1,1,0,0,565,4,696
39,118,2,0,0,0,553,2,675
40,182,5,4,0,0,642,2,835
41,124,3,1,0,0,614,1,743
42,302,4,0,0,0,580,2,888
43,181,0,2,0,0,575,1,759
44,142,1,0,0,0,583,3,729
45,111,2,2,0,0,629,3,747
46,155,4,0,0,0,657,1,817
47,144,1,0,0,0,668,0,813
48,148,3,2,0,0,722,4,879
49,123,5,2,0,0,663,4,797
50,127,4,1,0,0,795,2,929
51,185,2,0,0,0,709,1,897
52,95,3,1,0,0,671,1,771
53,133,5,1,0,0,774,4,917
54,130,3,2,0,0,749,0,884
55,140,2,2,0,0,767,8,919
56,136,3,1,0,0,812,2,954
57,113,1,1,0,0,775,4,894
58,192,0,2,0,0,798,0,992
59,120,4,1,0,0,801,3,929
60,136,5,1,0,0,878,2,1022
