Consumo,TCO,TCS,TIN,TMT,TMTb,TRE,TUD,Total general
0,6451,383,238,3,0,20065,0,27140
1,1058,84,27,0,0,3299,0,4468
2,689,71,19,0,0,2023,0,2802
3,530,55,8,0,0,1620,0,2213
4,453,52,10,0,0,1439,0,1954
5,474,53,18,0,0,1290,0,1835
6,384,43,6,0,0,1150,0,1583
7,388,41,8,0,0,1096,0,1533
8,373,29,9,0,0,1042,0,1453
9,343,27,8,0,0,1051,0,1429
10,371,41,12,0,0,1110,0,1534
11,309,40,7,0,0,949,0,1305
12,287,36,12,0,0,927,0,1262
13,280,20,4,0,0,866,0,1170
14,272,27,8,0,0,919,0,1226
15,340,32,8,0,0,996,0,1376
16,242,28,9,0,0,832,0,1111
17,251,15,2,0,0,885,0,1153
18,266,25,7,0,0,884,0,1182
19,244,29,9,0,0,829,0,1111
20,261,26,2,0,0,923,0,1212
21,225,25,6,0,0,871,0,1127
22,237,22,10,0,0,843,0,1112
23,241,24,5,0,0,875,0,1145
24,226,20,8,0,0,817,0,1071
25,305,18,3,0,0,845,0,1171
26,228,15,3,0,0,919,0,1165
27,206,21,6,0,0,941,0,1174
28,226,30,4,0,0,945,0,1205
29,232,34,6,0,0,939,0,1211
30,327,35,10,0,0,1440,0,1812
31,210,16,12,0,0,947,0,1185
32,223,25,5,0,0,934,0,1187
33,234,13,3,0,0,1011,0,1261
34,236,16,7,0,0,1002,0,1261
35,236,29,4,0,0,1019,0,1288
36,191,21,3,0,0,1016,0,1231
37,229,21,3,0,0,1089,0,1342
38,254,25,4,0,0,1160,0,1443
39,217,18,7,0,0,1233,0,1475
40,232,22,3,0,0,1172,0,1429
41,211,22,6,0,0,1177,0,1416
42,204,22,4,0,0,1180,0,1410
43,296,23,4,0,0,1265,0,1588
44,213,19,7,0,0,1205,0,1444
45,233,27,2,0,0,1485,0,1747
46,215,18,5,0,0,1234,0,1472
47,199,20,7,0,0,1334,0,1560
48,182,27,4,0,0,1299,0,1512
49,214,28,6,0,0,1297,0,1545
50,258,22,8,0,0,1488,0,1776
51,218,19,9,0,0,1370,0,1616
52,177,24,8,0,0,1455,0,1664
53,186,28,5,0,0,1465,0,1684
54,194,26,2,0,0,1514,0,1736
55,205,15,8,0,0,1503,0,1731
56,184,18,8,0,0,1603,0,1813
57,220,22,3,0,0,1510,0,1755
58,213,9,8,0,0,1557,0,1787
59,199,18,5,0,0,1578,0,1800
60,326,31,9,0,0,2672,0,3038
61,205,14,5,0,0,1642,0,1866
62,185,13,6,0,0,1656,0,1860
63,200,19,4,0,0,1735,0,1958
64,162,16,9,0,0,1791,0,1978
65,171,27,5,0,0,1787,0,1990
66,188,17,7,0,0,1766,0,1978
67,191,22,7,0,0,1863,0,2083
68,205,22,5,0,0,1833,0,2065
69,171,18,4,0,0,2009,0,2202
70,176,19,11,0,0,1924,0,2130
71,187,22,6,0,0,1994,0,2209
72,188,15,7,0,0,1978,0,2188
73,179,17,9,0,0,2000,0,2205
74,155,13,2,0,0,1943,0,2113
75,233,21,3,0,0,2468,0,2725
76,165,15,5,0,0,2086,0,2271
77,180,19,5,0,0,2093,0,2297
78,176,15,5,0,0,2142,0,2338
79,195,14,7,0,0,2225,0,2441
80,200,13,1,0,0,2340,0,2554
81,178,22,8,0,0,2209,0,2417
82,192,17,6,0,0,2293,0,2508
83,166,13,8,0,0,2278,0,2465
84,188,9,5,0,0,2341,0,2543
85,180,25,8,0,0,2299,0,2512
86,182,14,1,0,0,2370,0,2567
87,181,13,7,0,0,2299,0,2500
88,194,10,5,0,0,2390,0,2599
89,183,11,5,0,0,2373,0,2572
90,258,18,9,0,0,3953,0,4238
91,197,16,4,0,0,2487,0,2704
92,177,12,9,0,0,2472,0,2670
93,173,17,6,0,0,2630,0,2826
94,179,18,3,0,0,2506,0,2706
