Month,Consumo de Energía ≤ 3000 kWh,Bloque 0-3000 kWh,Bloque mayor a 3000 kWh,Bloque 0-8 kW,Bloque mayor a 8 kW
Jul-16,128.09,231360,77.12,96583.76,12072.97
Aug-16,128.09,231360,77.12,96583.76,12072.97
Sep-16,128.09,231360,77.12,96583.76,12072.97
Oct-16,124.59,225030,75.01,93940.24,11742.53
Nov-16,124.59,225030,75.01,93940.24,11742.53
Dec-16,124.59,225030,75.01,93940.24,11742.53
Jan-17,105.25,190080,63.36,79348.24,9918.53
Feb-17,105.25,190080,63.36,79348.24,9918.53
Mar-17,105.25,190080,63.36,79348.24,9918.53
Apr-17,106.605,192555,64.185,80373.45333,10046.68167
May-17,106.58,192510,64.17,80354.96,10044.37
Jun-17,106.58,192510,64.17,80354.96,10044.37
Jul-17,106.08,191580,63.86,79974.48,9996.81
Aug-17,106.08,191580,63.86,79974.48,9996.81
Sep-17,106.08,191580,63.86,79974.48,9996.81
Oct-17,118.31,213690,71.23,89192.8,11149.1
Nov-17,118.31,213690,71.23,89192.8,11149.1
Dec-17,118.31,213690,71.23,89192.8,11149.1
Jan-18,121.53,219480,73.16,91618.72,11452.34
Feb-18,121.53,219480,73.16,91618.72,11452.34
Mar-18,121.53,219480,73.16,91618.72,11452.34
Apr-18,120.55,217740,72.58,90882,11360.25
May-18,120.55,217740,72.58,90882,11360.25
Jun-18,120.55,217740,72.58,90882,11360.25
Jul-18,122.92,222000,74,92665.76,11583.22
Aug-18,122.92,222000,74,92665.76,11583.22
Sep-18,122.92,222000,74,92665.76,11583.22
Oct-18,121.46,219360,73.12,91569.68,11446.21
Nov-18,121.46,219360,73.12,91569.68,11446.21
Dec-18,121.46,219360,73.12,91569.68,11446.21
Jan-19,106.68,192660,64.22,80426.32,10053.29
Feb-19,106.68,192660,64.22,80426.32,10053.29
Mar-19,106.68,192660,64.22,80426.32,10053.29
