Month,Energía Punta,Energía Valle,Energía Noche,Potencia Punta,Potencia Valle,Potencia Noche
Jan-16,59.87,29.94,21.55,10497.19,7469.08,4741.52
Feb-16,59.87,29.94,21.55,10497.19,7469.08,4741.52
Mar-16,59.87,29.94,21.55,10497.19,7469.08,4741.52
Apr-16,62.58,31.28,22.52,10971.72,7806.73,4955.86
May-16,62.58,31.28,22.52,10971.72,7806.73,4955.86
Jun-16,62.58,31.28,22.52,10971.72,7806.73,4955.86
Jul-16,65.36,32.68,23.53,11459.91,8154.09,5176.38
Aug-16,65.36,32.68,23.53,11459.91,8154.09,5176.38
Sep-16,65.36,32.68,23.53,11459.91,8154.09,5176.38
Oct-16,63.57,31.79,22.89,11146.24,7930.91,5034.7
Nov-16,63.57,31.79,22.89,11146.24,7930.91,5034.7
Dec-16,63.57,31.79,22.89,11146.24,7930.91,5034.7
Jan-17,53.69,26.85,19.33,9414.88,6698.98,4252.64
Feb-17,53.69,26.85,19.33,9414.88,6698.98,4252.64
Mar-17,53.69,26.85,19.33,9414.88,6698.98,4252.64
Apr-17,54.38333333,27.195,19.575,9536.515,6785.531667,4307.581667
May-17,54.37,27.19,19.57,9534.32,6783.97,4306.59
Jun-17,54.37,27.19,19.57,9534.32,6783.97,4306.59
Jul-17,54.12,27.06,19.48,9489.18,6751.85,4286.2
Aug-17,54.12,27.06,19.48,9489.18,6751.85,4286.2
Sep-17,54.12,27.06,19.48,9489.18,6751.85,4286.2
Oct-17,60.35,30.19,21.73,10582.96,7530.11,4780.26
Nov-17,60.35,30.19,21.73,10582.96,7530.11,4780.26
Dec-17,60.35,30.19,21.73,10582.96,7530.11,4780.26
Jan-18,61.99,31.01,22.32,10870.8,7734.91,4910.27
Feb-18,61.99,31.01,22.32,10870.8,7734.91,4910.27
Mar-18,61.99,31.01,22.32,10870.8,7734.91,4910.27
Apr-18,61.49,30.76,22.14,10783.38,7672.71,4870.79
May-18,61.49,30.76,22.14,10783.38,7672.71,4870.79
Jun-18,61.49,30.76,22.14,10783.38,7672.71,4870.79
Jul-18,62.7,31.36,22.58,10995.03,7823.31,4966.39
Aug-18,62.7,31.36,22.58,10995.03,7823.31,4966.39
Sep-18,62.7,31.36,22.58,10995.03,7823.31,4966.39
Oct-18,61.96,30.99,22.31,10864.99,7730.78,4907.65
Nov-18,61.96,30.99,22.31,10864.99,7730.78,4907.65
Dec-18,61.96,30.99,22.31,10864.99,7730.78,4902.088788
Jan-19,54.42,27.21,19.59,9542.79,6790,4310.42
Feb-19,54.42,27.21,19.59,9542.79,6790,4310.42
Mar-19,54.42,27.21,19.59,9542.79,6790,4310.42
