Month,Bloque 0-30 kWh,Bloque 31-200 kWh,Bloque 201-300 kWh,Bloque mayor a 300 kWh
Apr-16,2177.7,72.59,111.37,115.14
May-16,2177.7,72.59,111.37,115.14
Jun-16,2177.7,72.59,111.37,115.14
Jul-16,2274.6,75.82,116.34,120.26
Aug-16,2274.6,75.82,116.34,120.26
Sep-16,2274.6,75.82,116.34,120.26
Oct-16,2212.2,73.74,113.15,116.97
Nov-16,2212.2,73.74,113.15,116.97
Dec-16,2212.2,73.74,113.15,116.97
Jan-17,1868.4,62.28,95.58,98.8
Feb-17,1868.4,62.28,95.58,98.8
Mar-17,1868.4,62.28,95.58,98.8
Apr-17,1892.55,63.085,96.81166667,100.0733333
May-17,1892.1,63.07,96.79,100.05
Jun-17,1892.1,63.07,96.79,100.05
Jul-17,1883.1,62.77,96.33,99.58
Aug-17,1883.1,62.77,96.33,99.58
Sep-17,1883.1,62.77,96.33,99.58
Oct-17,2100.3,70.01,107.43,111.06
Nov-17,2100.3,70.01,107.43,111.06
Dec-17,2100.3,70.01,107.43,111.06
Jan-18,2157.3,71.91,110.35,114.08
Feb-18,2157.3,71.91,110.35,114.08
Mar-18,2157.3,71.91,110.35,114.08
Apr-18,2139.9,71.33,109.46,113.17
May-18,2139.9,71.33,109.46,113.17
Jun-18,2139.9,71.33,109.46,113.17
Jul-18,2181.9,72.73,111.62,115.39
Aug-18,2181.9,72.73,111.62,115.39
Sep-18,2181.9,72.73,111.62,115.39
Oct-18,2156.1,71.87,110.3,114.02
Nov-18,2156.1,71.87,110.3,114.02
Dec-18,2156.1,71.87,110.3,114.02
Jan-19,1893.9,63.13,96.87,100.14
Feb-19,1893.9,63.13,96.87,100.14
Mar-19,1893.9,63.13,96.87,100.14
