Month,Energía Punta,Energía Valle,Energía Noche,Potencia Punta,Potencia Valle,Potencia Noche
Jan-16,68.5,25.45,15.66,11115.47,7760.96,4971.09
Feb-16,68.5,25.45,15.66,11115.47,7760.96,4971.09
Mar-16,68.5,25.45,15.66,11115.47,7760.96,4971.09
Apr-16,67.01,24.9,15.31,10873.17,7591.78,4862.73
May-16,67.01,24.9,15.31,10873.17,7591.78,4862.73
Jun-16,67.01,24.9,15.31,10873.17,7591.78,4862.73
Jul-16,70.68,26.25,16.15,11469.94,8008.46,5129.61
Aug-16,70.68,26.25,16.15,11469.94,8008.46,5129.61
Sep-16,70.68,26.25,16.15,11469.94,8008.46,5129.61
Oct-16,68.42,25.41,15.64,11104.12,7753.04,4966.01
Nov-16,68.42,25.41,15.64,11104.12,7753.04,4966.01
Dec-16,68.42,25.41,15.64,11104.12,7753.04,4966.01
Jan-17,61.75,22.93,14.11,10019.78,6995.95,4481.07
Feb-17,61.75,22.93,14.11,10019.78,6995.95,4481.07
Mar-17,61.75,22.93,14.11,10019.78,6995.95,4481.07
Apr-17,63.33833333,23.51833333,14.47833333,10277.34833,7175.785,4596.258333
May-17,62.51,23.21,14.29,10142.9,7081.91,4536.13
Jun-17,62.51,23.21,14.29,10142.9,7081.91,4536.13
Jul-17,67.13,24.93,15.34,10892.34,7605.19,4871.3
Aug-17,67.13,24.93,15.34,10892.34,7605.19,4871.3
Sep-17,67.13,24.93,15.34,10892.34,7605.19,4871.3
Oct-17,67.32,25.01,15.38,10924.1,7627.36,4885.5
Nov-17,67.32,25.01,15.38,10924.1,7627.36,4885.5
Dec-17,67.32,25.01,15.38,10924.1,7627.36,4885.5
Jan-18,66.35,24.64,15.16,10766.28,7517.16,4814.92
Feb-18,66.35,24.64,15.16,10766.28,7517.16,4814.92
Mar-18,66.35,24.64,15.16,10766.28,7517.16,4814.92
Apr-18,66.99,24.89,15.31,10871.96,7590.96,4862.19
May-18,66.99,24.89,15.31,10871.96,7590.96,4862.19
Jun-18,66.99,24.89,15.31,10871.96,7590.96,4862.19
Jul-18,66.65,24.76,15.23,10816.08,7551.94,4837.2
Aug-18,66.65,24.76,15.23,10816.08,7551.94,4837.2
Sep-18,66.65,24.76,15.23,10816.08,7551.94,4837.2
Oct-18,65.79,24.44,15.03,10676.38,7454.4,4774.72
Nov-18,65.79,24.44,15.03,10676.38,7454.4,4774.72
Dec-18,65.79,24.44,15.03,10676.38,7454.4,4774.72
Jan-19,68.9,25.6,15.76,11181.25,7806.89,5000.5
Feb-19,68.9,25.6,15.76,11181.25,7806.89,5000.5
Mar-19,68.9,25.6,15.76,11181.25,7806.89,5000.5
